ALL CLASSES,SCHEDULED CASTE,1,ADILABAD,58,537,58,537,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,2,NIZAMABAD,72,755,72,755,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,3,KARIMNAGAR,25,354,25,354,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,4,MEDAK,184,2730,184,2730,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,5,RANGAREDDY,145,1092,145,1092,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,6,MAHABUBNAGAR,14,452,14,452,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,7,NALGONDA,135,2235,135,2235,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,8,WARANGAL,7,76,7,76,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,9,KHAMMAM,160,2186,160,2186,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,10,SRIKAKULAM,508,4033,508,4033,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,11,VIZIANAGARAM,107,1363,107,1363,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,12,VISAKHAPATNAM,211,1483,211,1483,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,13,EAST GODAVARI,836,3912,836,3912,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,14,WEST GODAVARI,776,3446,776,3446,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,15,KRISHNA,25,180,25,180,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,16,GUNTUR,759,8025,759,8025,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,17,PRAKASAM,168,2040,168,2040,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,18,NELLORE,666,6792,666,6792,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,19,KADAPA,18,619,18,619,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,20,KURNOOL,53,1619,53,1619,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,21,ANANTHAPUR,714,5821,714,5821,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,22,CHITTOOR,45,2173,45,2173,0,0,0,0,0,0,0,0,0
ALL CLASSES,OTHERS,1,ADILABAD,328303,450198,327998,449648,97,118,20,26,188,264,142,0,406
ALL CLASSES,OTHERS,2,NIZAMABAD,371883,357578,371786,357451,76,111,0,0,21,12,4,0,16
ALL CLASSES,OTHERS,3,KARIMNAGAR,546409,559792,545613,558509,318,328,14,7,464,529,419,0,948
ALL CLASSES,OTHERS,4,MEDAK,541557,548966,541539,548952,7,1,11,13,0,0,0,0,0
ALL CLASSES,OTHERS,5,RANGAREDDY,259983,337733,259911,337599,49,114,23,21,0,0,0,0,0
ALL CLASSES,OTHERS,6,MAHABUBNAGAR,761838,988683,761796,988590,22,50,0,0,20,35,3,5,42
ALL CLASSES,OTHERS,7,NALGONDA,585344,754808,585105,754460,48,73,30,31,161,165,78,0,244
ALL CLASSES,OTHERS,8,WARANGAL,474526,506312,473166,505061,1070,996,12,18,278,133,103,0,236
ALL CLASSES,OTHERS,9,KHAMMAM,267298,324091,264015,316101,2056,3221,10,21,1217,2814,1718,216,4749
ALL CLASSES,OTHERS,10,SRIKAKULAM,461825,307914,461127,306512,84,33,0,0,614,983,385,0,1368
ALL CLASSES,OTHERS,11,VIZIANAGARAM,385619,292697,377349,282032,3853,1988,22,6,4395,5717,2934,21,8672
ALL CLASSES,OTHERS,12,VISAKHAPATNAM,355558,218042,346170,210788,1434,439,1638,497,6316,4657,1046,614,6317
ALL CLASSES,OTHERS,13,EAST GODAVARI,591563,393393,589420,391284,997,745,94,23,1052,805,533,2,1340
ALL CLASSES,OTHERS,14,WEST GODAVARI,496068,416957,495250,416012,324,426,40,70,454,202,192,54,449
ALL CLASSES,OTHERS,15,KRISHNA,488069,471806,463709,433373,14917,16726,291,67,9152,13256,8384,0,21640
ALL CLASSES,OTHERS,16,GUNTUR,685605,643418,685233,640926,23,39,0,0,349,1843,610,0,2453
